25-02-22.15:57:28.625 [main            ] ERROR ActivityRepository     - 写入订单记录，唯一索引冲突 userId: xxx activityId: 100301 sku: 9011
25-02-22.22:29:56.665 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.669 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.673 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.676 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.678 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.682 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.685 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.689 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.693 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.696 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.699 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.702 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.706 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.712 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.716 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.720 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.723 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.726 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.729 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:29:56.835 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:32:44.067 [Retail_HikariCP housekeeper] WARN  HikariPool             - Retail_HikariCP - Thread starvation or clock leap detected (housekeeper delta=54s274ms379µs300ns).
25-02-22.22:33:26.357 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.365 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.370 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.373 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.377 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.384 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.388 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.393 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.396 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.400 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.403 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.406 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.410 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.414 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.417 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.422 [main            ] WARN  RaffleOrderTest        - 活动库存不足
25-02-22.22:33:26.425 [main            ] WARN  RaffleOrderTest        - 活动库存不足
